site_id,tree_type,tot_ba_m2,tot_ba_m2ha,nstem,nstem_ha,hw_ba_m2,p_ba_hw,hw_nstem,p_stem_hw,dbh_25perc,dbh_med,dbh_75perc,dbh_hw_25perc,dbh_hw_med,dbh_hw_75perc
cr_1,regen,0.5349771005908255,23.776760026258913,39,1733.3333333333335,0.3552410870918096,0.6640304541997845,30,0.7692307692307693,5.75,9.3,15,5.55,7.95,14.524999999999999
cr_1,mature,6.05550387739781,110.100070498142,43,781.8181818181819,2.5549897609225267,0.4219285153889563,33,0.7674418604651163,16.2,30,42.55,16.4,28.5,39.3
cr_2,regen,0.677694157056266,30.119740313611825,31,1377.7777777777778,0.6010008117986686,0.8868319219532095,29,0.9354838709677419,4.9,6.8,22.15,4.8,5.9,21.5
cr_2,mature,7.723735914945631,140.43156208992056,51,927.2727272727273,3.371206162853527,0.4364735148867733,34,0.6666666666666666,21.299999999999997,36,48.1,20.75,34.7,44.875
mi_1,regen,1.0886113345531574,48.38272598014033,50,2222.222222222222,0.8459979148888686,0.7771349498543716,28,0.56,6.275,12.850000000000001,20.575,9,18.799999999999997,23.074999999999996
mi_1,mature,6.080012227086628,110.54567685612051,48,872.7272727272727,5.910258624244393,0.9720800556804841,46,0.9583333333333334,13.8,20.6,43.525,13.6,20.35,44.775
mi_2,regen,0.6598758289232681,29.327814618811917,83,3688.888888888889,0.6289523470358204,0.9531374229331809,78,0.9397590361445783,5.65,7.8,11.05,5.6,7.65,11.275
mi_2,mature,5.6330515570751,102.41911921954727,61,1109.090909090909,4.7606139984136195,0.8451216805275462,52,0.8524590163934426,23.4,29.8,35.8,23.475,30.6,35.875
mk_1,regen,0.752659626354389,33.451538949083954,76,3377.777777777778,0.7175075607552095,0.9532961987486384,69,0.9078947368421053,6.550000000000001,8.75,11.825000000000001,6.7,8.9,13.1
mk_1,mature,7.90396515849126,143.7084574271138,94,1709.090909090909,3.023490760963392,0.3825283513193684,83,0.8829787234042553,11.025,13.6,21.525000000000002,10.850000000000001,13,18.7
mk_2,regen,0.6955690338570286,30.914179282534608,58,2577.777777777778,0.6633983396861057,0.9537490995070154,54,0.9310344827586207,6.8,10.05,14.25,6.824999999999999,10.05,14.25
mk_2,mature,8.765400074281706,159.37091044148556,61,1109.090909090909,4.697874822325105,0.5359566913675733,47,0.7704918032786885,13.8,31.5,50.4,11.399999999999999,28.7,45.5
mk_3,regen,0.39758897066403664,17.670620918401628,57,2533.3333333333335,0.2830017348188391,0.7117947319971711,45,0.7894736842105263,5,6,9,4.5,5.9,8.5
mk_3,mature,8.99101433609742,163.472987929044,102,1854.5454545454545,5.443564039979341,0.6054449294029419,86,0.8431372549019608,12.1,17.25,41.775000000000006,11.525,16.25,31.475
ph_1,regen,1.5313222151025407,68.05876511566848,111,4933.333333333334,1.2894203661742902,0.8420307323027687,95,0.8558558558558559,7.199999999999999,10.6,14.75,7.05,10.5,14.45
ph_1,mature,6.353095953898084,115.51083552541971,86,1563.6363636363637,5.831414858815413,0.9178855318936933,85,0.9883720930232558,16.325000000000003,21.7,34.724999999999994,16.3,21.7,34.5
ph_2,regen,0.7219262108224835,32.08560936988816,71,3155.5555555555557,0.24269667186960892,0.336179332778494,22,0.30985915492957744,6.8,8.9,13.25,6.9750000000000005,8.95,13.25
ph_2,mature,14.492812508300027,263.50568196909137,40,727.2727272727273,1.4991742974783564,0.103442606231177,16,0.4,14.775,22.75,52.525,14.775,20.25,45.475
ph_3,regen,0.7531206550763033,33.47202911450237,45,2000,0.09146432851661324,0.12144711196022956,12,0.26666666666666666,5.8,9.8,18.4,5.35,6.949999999999999,9.5
ph_3,mature,3.024003625964091,54.98188410843802,41,745.4545454545455,1.1370617618549825,0.37601203652408743,20,0.4878048780487805,17,23.5,37.2,14.225,22.6,30.875000000000004
