site_id,reg.ba_m2,reg.nstem,reg.ba_m2_ha,reg.nstem_ha,reg.dbh_mean_cd_all,reg.dbh_sd_cd_all,reg.dbh_mean_cd_hw,reg.dbh_sd_cd_hw,reg.ba_m2_hw,reg.nstem_hw,reg.p_ba_hw,reg.p_stem_hw
cr_1,0.5349771005908254,39,23.7767600262589,1733.333333333332,20.477777777777778,4.616756918492076,22.34,4.616756918492076,0.3552410870918096,30,0.6640304541997846,0.7692307692307693
cr_2,0.6776941570562662,31,30.11974031361183,1377.7777777777771,30.15,2.926260412198476,30.08,2.926260412198476,0.6010008117986685,29,0.886831921953209,0.9354838709677419
cr_3,0.7802553762235218,44,34.67801672104541,1955.5555555555536,22.071428571428573,5.253340120112386,21.3,5.253340120112386,0.5654497639324831,35,0.7246983246296752,0.7954545454545454
mi_1,1.0886113345531574,50,48.38272598014032,2222.22222222222,21.454166666666666,6.243534336775346,23.1,6.243534336775346,0.8459979148888687,28,0.7771349498543717,0.56
mi_2,0.6598758289232681,83,29.32781461881192,3688.8888888888832,16.08421052631579,3.4272216084193294,16.355555555555554,3.4272216084193294,0.6289523470358205,78,0.9531374229331812,0.9397590361445783
mk_1,0.7526596263543889,76,33.45153894908396,3377.777777777773,15.8,3.930482877735751,15.8,3.930482877735751,0.7175075607552093,69,0.9532961987486382,0.9078947368421053
mk_2,0.6955690338570286,58,30.914179282534594,2577.7777777777746,19.9,4.677843757782235,20.466666666666665,4.677843757782235,0.6633983396861057,54,0.9537490995070154,0.9310344827586207
mk_3,0.39758897066403676,57,17.670620918401628,2533.3333333333303,15.516666666666667,5.564960725718366,15.8,5.564960725718366,0.28300173481883917,45,0.7117947319971711,0.7894736842105263
ph_1,1.558836880651153,113,69.28163914005121,5022.2222222222135,23.066666666666666,5.024321797398086,22.87142857142857,5.024321797398086,1.3169350317229025,97,0.844819010936408,0.8584070796460177
ph_2,0.7279338942867251,73,32.35261752385445,3244.44444444444,18.021428571428572,3.888281916700005,20.45,3.888281916700005,0.24269667186960892,22,0.33340482394684784,0.3013698630136986
ph_3,0.7531206550763034,45,33.47202911450238,1999.999999999998,20.9375,5.825218164727109,17.700000000000003,5.825218164727109,0.09146432851661324,12,0.12144711196022955,0.26666666666666666
